            , "MARY FALLIN (R)
              ============"   , "LAURA BOYD (D)
                                =========="    , "ELMER ZEN E.Z. MILLION (I)
                                                 ================"          , "BILLY MAGUIRE (I)
                                                                              ============="    , "TOTAL VOTES
                                                                                                  ======="
NOWATA      , "1,701"         , "1,715"        , 47                         , 153               , "3,616"
OKFUSKEE    , "1,560"         , "1,707"        , 62                         , 141               , "3,470"
OKLAHOMA    , "118,019"       , "63,230"       , "2,126"                    , "4,886"           , "188,261"
OKMULGEE    , "4,484"         , "5,972"        , 129                        , 436               , "11,021"
OSAGE       , "6,471"         , "6,596"        , 181                        , 513               , "13,761"
OTTAWA      , "3,578"         , "4,530"        , 128                        , 326               , "8,562"
PAWNEE      , "2,627"         , "2,048"        , 61                         , 199               , "4,935"
PAYNE       , "11,877"        , "7,166"        , 242                        , 600               , "19,885"
PITTSBURG   , "6,275"         , "8,350"        , 192                        , 611               , "15,428"
PONTOTOC    , "5,481"         , "4,537"        , 97                         , 304               , "10,419"
POTTAWATOMIE, "11,804"        , "6,866"        , 199                        , 572               , "19,441"
PUSHMATAHA  , "1,461"         , "2,049"        , 52                         , 149               , "3,711"
ROGER MILLS , 870             , 487            , 22                         , 50                , "1,429"
ROGERS      , "13,563"        , "10,068"       , 269                        , 849               , "24,749"
SEMINOLE    , "3,625"         , "3,503"        , 64                         , 217               , "7,409"
SEQUOYAH    , "3,878"         , "4,870"        , 126                        , 379               , "9,253"
STEPHENS    , "8,246"         , "5,432"        , 125                        , 390               , "14,193"
TEXAS       , "3,699"         , "1,031"        , 40                         , 118               , "4,888"
TILLMAN     , "1,221"         , "1,318"        , 16                         , 62                , "2,617"
TULSA       , "106,371"       , "60,306"       , "1,892"                    , "4,457"           , "173,026"
WAGONER     , "10,059"        , "7,510"        , 219                        , 640               , "18,428"
WASHINGTON  , "10,770"        , "5,521"        , 204                        , 564               , "17,059"
WASHITA     , "2,220"         , "1,391"        , 53                         , 116               , "3,780"
WOODS       , "2,116"         , 915            , 32                         , 93                , "3,156"
WOODWARD    , "3,975"         , "1,650"        , 61                         , 138               , "5,824"
STATE TOTAL:, "584,990"       , "400,511"      , "11,802"                   , "31,053"          , "1,028,356"
