            , "MARY FALLIN (R)
              ============"   , "LAURA BOYD (D)
                                =========="    , "ELMER ZEN E.Z. MILLION (I)
                                                 ================"          , "BILLY MAGUIRE (I)
                                                                              ============="    , "TOTAL VOTES
                                                                                                  ======="
ADAIR       , "2,622"         , "2,911"        , 101                        , 285               , "5,919"
ALFALFA     , "1,439"         , 511            , 17                         , 63                , "2,030"
ATOKA       , "1,611"         , "2,013"        , 28                         , 134               , "3,786"
BEAVER      , "1,454"         , 437            , 21                         , 45                , "1,957"
BECKHAM     , "3,031"         , "1,994"        , 49                         , 149               , "5,223"
BLAINE      , "2,139"         , "1,112"        , 42                         , 92                , "3,385"
BRYAN       , "4,658"         , "4,890"        , 76                         , 260               , "9,884"
CADDO       , "3,720"         , "3,636"        , 100                        , 263               , "7,719"
CANADIAN    , "19,604"        , "7,714"        , 311                        , 817               , "28,446"
CARTER      , "7,062"         , "5,848"        , 105                        , 354               , "13,369"
CHEROKEE    , "5,073"         , "6,790"        , 205                        , 585               , "12,653"
CHOCTAW     , "1,486"         , "2,211"        , 31                         , 125               , "3,853"
CIMARRON    , 916             , 286            , 12                         , 45                , "1,259"
CLEVELAND   , "37,389"        , "25,217"       , 850                        , "1,563"           , "65,019"
COAL        , 754             , "1,185"        , 19                         , 61                , "2,019"
COMANCHE    , "12,152"        , "8,739"        , 209                        , 601               , "21,701"
COTTON      , 870             , 873            , 21                         , 73                , "1,837"
CRAIG       , "1,905"         , "2,317"        , 68                         , 171               , "4,461"
CREEK       , "10,207"        , "8,386"        , 304                        , 925               , "19,822"
CUSTER      , "5,064"         , "2,661"        , 97                         , 200               , "8,022"
DELAWARE    , "5,394"         , "4,707"        , 145                        , 434               , "10,680"
DEWEY       , "1,167"         , 572            , 27                         , 63                , "1,829"
ELLIS       , "1,061"         , 493            , 21                         , 58                , "1,633"
GARFIELD    , "11,720"        , "5,094"        , 221                        , 512               , "17,547"
GARVIN      , "4,551"         , "3,859"        , 99                         , 295               , "8,804"
GRADY       , "8,185"         , "5,493"        , 185                        , 465               , "14,328"
GRANT       , "1,308"         , 702            , 33                         , 85                , "2,128"
GREER       , 992             , 849            , 23                         , 65                , "1,929"
HARMON      , 455             , 396            , 8                          , 21                , 880
HARPER      , 968             , 391            , 17                         , 33                , "1,409"
HASKELL     , "1,443"         , "2,478"        , 52                         , 152               , "4,125"
HUGHES      , "1,789"         , "2,119"        , 39                         , 128               , "4,075"
JACKSON     , "3,978"         , "2,092"        , 65                         , 129               , "6,264"
JEFFERSON   , 871             , 987            , 17                         , 56                , "1,931"
JOHNSTON    , "1,448"         , "1,791"        , 19                         , 109               , "3,367"
KAY         , "9,543"         , "5,245"        , 196                        , 563               , "15,547"
KINGFISHER  , "3,640"         , "1,093"        , 40                         , 125               , "4,898"
KIOWA       , "1,550"         , "1,413"        , 29                         , 93                , "3,085"
LATIMER     , "1,117"         , "1,939"        , 35                         , 143               , "3,234"
LeFLORE     , "5,050"         , "6,301"        , 114                        , 330               , "11,795"
LINCOLN     , "6,698"         , "3,907"        , 149                        , 471               , "11,225"
LOGAN       , "7,336"         , "3,406"        , 123                        , 353               , "11,218"
LOVE        , "1,249"         , "1,356"        , 28                         , 68                , "2,701"
McCLAIN     , "5,637"         , "3,652"        , 108                        , 323               , "9,720"
McCURTAIN   , "3,279"         , "4,856"        , 70                         , 311               , "8,516"
McINTOSH    , "2,547"         , "3,780"        , 79                         , 304               , "6,710"
MAJOR       , "2,053"         , 630            , 38                         , 69                , "2,790"
MARSHALL    , "2,035"         , "2,046"        , 36                         , 108               , "4,225"
MAYES       , "5,463"         , "6,306"        , 156                        , 439               , "12,364"
MURRAY      , "2,038"         , "2,223"        , 43                         , 123               , "4,427"
MUSKOGEE    , "8,617"         , "10,530"       , 239                        , 692               , "20,078"
NOBLE       , "2,701"         , "1,306"        , 43                         , 159               , "4,209"
